Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2020,Saint Clair,IL,Passenger,1,0,1,142,143,0.70
December 31 2019,Pend Oreille,WA,Truck,0,0,0,6007,6007,0.00
January 31 2020,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
March 31 2020,Bell,TX,Passenger,0,1,1,404,405,0.25
January 31 2020,Chelan,WA,Truck,0,0,0,23192,23192,0.00
January 31 2020,Ventura,CA,Passenger,0,2,2,306,308,0.65
January 31 2020,Wahkiakum,WA,Truck,0,0,0,1798,1798,0.00
March 31 2020,Bryan,GA,Passenger,1,0,1,57,58,1.72
January 31 2020,Stafford,VA,Passenger,1,0,1,88,89,1.12
January 31 2020,,CA,Passenger,1,2,3,224,227,1.32
December 31 2019,Ramsey,MN,Passenger,1,0,1,34,35,2.86
January 31 2020,Clark,NV,Passenger,2,1,3,639,642,0.47
January 31 2020,Allegheny,PA,Passenger,1,0,1,64,65,1.54
March 31 2020,Carson City,NV,Passenger,1,0,1,8,9,11.11
January 31 2020,Wayne,MI,Passenger,0,1,1,57,58,1.72
January 31 2020,Cochise,AZ,Passenger,0,1,1,107,108,0.93
January 31 2020,Tarrant,TX,Passenger,2,0,2,164,166,1.20
January 31 2020,Whatcom,WA,Truck,3,0,3,44314,44317,0.01
January 31 2020,Whitman,WA,Passenger,43,51,94,23085,23179,0.41
January 31 2020,Thurston,WA,Passenger,1189,776,1965,202392,204357,0.96
January 31 2020,Bell,TX,Passenger,0,1,1,412,413,0.24
January 31 2020,Columbia,GA,Passenger,1,1,2,151,153,1.31
December 31 2019,Saginaw,MI,Passenger,1,0,1,10,11,9.09
March 31 2020,Chelan,WA,Truck,0,0,0,23177,23177,0.00
December 31 2019,Shelby,OH,Passenger,0,1,1,1,2,50.00
February 29 2020,,,Passenger,7,5,12,1972,1984,0.60
January 31 2020,Yakima,WA,Truck,0,0,0,61995,61995,0.00
January 31 2020,Cowlitz,WA,Truck,0,0,0,29858,29858,0.00
March 31 2020,Clackamas,OR,Passenger,1,1,2,178,180,1.11
January 31 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
February 29 2020,Adams,WA,Passenger,7,8,15,13248,13263,0.11
January 31 2020,Walla Walla,WA,Truck,0,0,0,14134,14134,0.00
March 31 2020,Clark,WA,Truck,0,0,0,84132,84132,0.00
December 31 2019,Skagit,WA,Passenger,398,235,633,94447,95080,0.67
December 31 2019,San Juan,WA,Passenger,257,83,340,14724,15064,2.26
December 31 2019,Skagit,WA,Truck,1,0,1,33493,33494,0.00
February 29 2020,Ada,ID,Passenger,0,1,1,258,259,0.39
December 31 2019,Skamania,WA,Truck,0,0,0,4268,4268,0.00
February 29 2020,Alameda,CA,Passenger,2,0,2,254,256,0.78
January 31 2020,Bryan,GA,Passenger,1,0,1,56,57,1.75
December 31 2019,Snohomish,WA,Truck,0,0,0,126972,126972,0.00
January 31 2020,Dekalb,IN,Passenger,1,0,1,1,2,50.00
February 29 2020,Anne Arundel,MD,Passenger,1,3,4,419,423,0.95
January 31 2020,Deschutes,OR,Passenger,2,0,2,123,125,1.60
January 31 2020,Camden,GA,Passenger,1,1,2,156,158,1.27
February 29 2020,Asotin,WA,Passenger,17,12,29,13005,13034,0.22
December 31 2019,Stevens,WA,Truck,0,0,0,19460,19460,0.00
March 31 2020,Cowlitz,WA,Passenger,143,129,272,74568,74840,0.36
January 31 2020,Carson City,NV,Passenger,1,0,1,7,8,12.50
December 31 2019,San Mateo,CA,Passenger,1,1,2,117,119,1.68
December 31 2019,Tarrant,TX,Passenger,2,0,2,168,170,1.18
January 31 2020,El Paso,CO,Passenger,0,1,1,699,700,0.14
January 31 2020,El Paso,TX,Passenger,2,0,2,455,457,0.44
February 29 2020,Benton,WA,Truck,0,0,0,43744,43744,0.00
December 31 2019,Sarasota,FL,Passenger,1,0,1,23,24,4.17
December 31 2019,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
March 31 2020,Cumberland,NC,Passenger,0,2,2,490,492,0.41
January 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,100,101,0.99
February 29 2020,Bucks,PA,Passenger,1,0,1,18,19,5.26
December 31 2019,Umatilla,WA,Passenger,0,0,0,4,4,0.00
February 29 2020,Brevard,FL,Passenger,0,1,1,76,77,1.30
January 31 2020,Clackamas,OR,Passenger,1,1,2,182,184,1.09
January 31 2020,Ferry,WA,Passenger,5,2,7,4551,4558,0.15
December 31 2019,Wahkiakum,WA,Truck,0,0,0,1792,1792,0.00
February 29 2020,Camden,GA,Passenger,1,1,2,153,155,1.29
February 29 2020,Calvert,MD,Passenger,0,2,2,90,92,2.17
March 31 2020,Denver,CO,Passenger,1,0,1,109,110,0.91
January 31 2020,Fresno,CA,Passenger,1,0,1,177,178,0.56
December 31 2019,Suffolk City,VA,Passenger,1,0,1,119,120,0.83
February 29 2020,Charles,MD,Passenger,0,1,1,71,72,1.39
December 31 2019,Washoe,NV,Passenger,1,0,1,84,85,1.18
December 31 2019,Washtenaw,MI,Passenger,1,0,1,28,29,3.45
January 31 2020,Grant,WA,Truck,0,0,0,27957,27957,0.00
February 29 2020,Columbia,WA,Truck,0,0,0,1607,1607,0.00
February 29 2020,Clark,NV,Passenger,2,1,3,636,639,0.47
January 31 2020,Davidson,TN,Passenger,1,0,1,64,65,1.54
January 31 2020,Grays Harbor,WA,Truck,0,0,0,21321,21321,0.00
February 29 2020,Contra Costa,CA,Passenger,3,0,3,192,195,1.54
December 31 2019,Whatcom,WA,Truck,2,0,2,44263,44265,0.00
December 31 2019,Whitman,WA,Truck,0,0,0,8841,8841,0.00
December 31 2019,Thurston,WA,Truck,0,0,0,56962,56962,0.00
March 31 2020,Garfield,WA,Truck,0,0,0,1001,1001,0.00
January 31 2020,District Of Columbia,DC,Passenger,1,3,4,212,216,1.85
February 29 2020,Chelan,WA,Truck,0,0,0,23185,23185,0.00
February 29 2020,Chesapeake City,VA,Passenger,0,2,2,424,426,0.47
February 29 2020,Columbia,GA,Passenger,1,1,2,151,153,1.31
March 31 2020,Goochland,VA,Passenger,2,1,3,197,200,1.50
January 31 2020,Harrison,MS,Passenger,1,0,1,63,64,1.56
February 29 2020,Clallam,WA,Truck,1,0,1,22372,22373,0.00
January 31 2020,,,Passenger,7,6,13,2004,2017,0.64
December 31 2019,Valencia,NM,Passenger,1,0,1,3,4,25.00
March 31 2020,Grant,WA,Passenger,61,76,137,67212,67349,0.20
February 29 2020,Cowlitz,WA,Truck,0,0,0,29826,29826,0.00
January 31 2020,Adams,WA,Passenger,7,8,15,13258,13273,0.11
February 29 2020,Clark,WA,Passenger,2087,1109,3196,326132,329328,0.97
February 29 2020,Douglas,WA,Passenger,69,41,110,28835,28945,0.38
January 31 2020,Flathead,MT,Passenger,1,0,1,51,52,1.92
January 31 2020,Anne Arundel,MD,Passenger,1,3,4,427,431,0.93
March 31 2020,Grays Harbor,WA,Passenger,121,113,234,49175,49409,0.47
